shift_id,shift,units_per_hour,defect_rate,meets_sla
1,C,237.51,0.239,0
2,B,484.15,0.225,1
3,B,345.78,0.381,1
4,A,499.12,0.468,1
5,D,492.84,0.455,1
6,B,36.04,0.26,0
7,C,207.67,0.356,0
8,B,56.28,0.452,0
9,D,384.12,0.188,1
10,D,360.44,0.267,1
11,D,154.88,0.362,0
12,B,259.15,0.442,0
13,D,178.05,0.429,0
14,A,422.3,0.215,1
15,D,487.73,0.043,1
16,C,395.17,0.485,1
17,D,198.37,0.355,0
18,C,119.54,0.207,0
19,D,430.5,0.248,1
20,A,282.47,0.123,0
21,B,78.68,0.483,0
22,B,470.83,0.335,1
23,A,173.05,0.256,0
24,D,280.75,0.348,0
25,A,465.86,0.342,1
26,C,325.76,0.308,1
27,B,234.65,0.024,0
28,A,492.58,0.31,1
29,C,181.34,0.039,0
30,D,141.73,0.257,0
31,A,111.06,0.003,0
32,B,273.26,0.079,0
33,C,306.79,0.473,1
34,B,221.73,0.333,0
35,A,143.51,0.233,0
36,B,491.17,0.485,1
37,A,143.14,0.13,0
38,D,430.1,0.008,1
39,B,394.05,0.009,1
40,D,255.01,0.443,0
41,A,284.17,0.478,1
42,A,275.87,0.109,0
43,A,93.16,0.084,0
44,B,46.55,0.102,0
45,C,429.7,0.277,1
46,C,432.81,0.078,1
47,C,429.3,0.384,1
48,D,471.15,0.204,1
49,A,294.33,0.144,1
50,B,429.13,0.153,1
51,D,428.73,0.103,1
52,A,286.89,0.388,1
53,C,193.69,0.205,0
54,A,156.36,0.206,0
55,C,419.33,0.415,1
56,A,10.34,0.104,0
57,C,280.89,0.022,0
58,C,292.0,0.006,1
59,B,192.88,0.497,0
60,B,72.91,0.174,0
61,D,364.97,0.156,1
62,A,346.65,0.286,1
63,A,12.02,0.037,0
64,D,389.63,0.14,1
65,C,256.46,0.432,0
66,A,74.88,0.286,0
67,D,159.47,0.068,0
68,B,452.18,0.435,1
69,A,40.8,0.26,0
70,B,422.78,0.136,1
71,B,261.37,0.424,0
72,C,396.14,0.096,1
73,D,49.67,0.406,0
74,D,359.61,0.285,1
75,A,140.4,0.123,0
76,C,349.42,0.313,1
77,D,380.79,0.117,1
78,B,203.64,0.289,0
79,C,493.81,0.21,1
80,A,42.76,0.125,0
81,A,256.61,0.243,0
82,D,471.44,0.047,1
83,A,21.7,0.412,0
84,D,295.18,0.355,1
85,A,92.76,0.047,0
86,A,480.0,0.307,1
87,C,480.89,0.269,1
88,B,39.61,0.41,0
89,D,36.93,0.413,0
90,D,492.92,0.36,1
91,B,379.26,0.416,1
92,A,487.12,0.149,1
93,B,477.38,0.484,1
94,B,10.2,0.48,0
95,B,72.12,0.139,0
96,C,480.52,0.193,1
97,A,418.95,0.114,1
98,A,461.28,0.084,1
99,C,43.36,0.451,0
100,A,310.77,0.295,1
101,A,64.0,0.105,0
102,B,71.43,0.081,0
103,B,332.15,0.001,1
104,A,345.04,0.232,1
105,A,416.6,0.413,1
106,A,118.57,0.291,0
107,C,18.75,0.11,0
108,B,105.42,0.163,0
109,D,123.19,0.153,0
110,C,301.24,0.222,1
111,A,286.09,0.087,1
112,A,197.55,0.199,0
113,C,452.39,0.023,1
114,C,177.99,0.327,0
115,C,76.71,0.319,0
116,D,80.01,0.025,0
117,A,156.19,0.071,0
118,B,92.16,0.036,0
119,C,264.37,0.178,0
120,C,80.73,0.345,0
121,A,351.2,0.249,1
122,C,335.37,0.118,1
123,B,25.58,0.038,0
124,A,231.06,0.009,0
125,D,188.74,0.18,0
126,C,74.35,0.324,0
127,D,247.64,0.017,0
128,D,11.47,0.079,0
129,A,212.69,0.263,0
130,B,177.51,0.498,0
131,B,285.31,0.192,0
132,A,463.6,0.294,1
133,C,211.96,0.007,0
134,A,44.38,0.391,0
135,D,498.71,0.408,1
136,B,185.44,0.17,0
137,A,281.07,0.158,0
138,D,77.87,0.325,0
139,B,107.73,0.175,0
140,A,212.37,0.303,0
141,C,244.15,0.485,0
142,C,386.17,0.417,1
143,C,423.47,0.292,1
144,B,78.17,0.314,0
145,A,312.06,0.028,1
146,D,310.2,0.499,1
147,B,292.75,0.417,1
148,A,97.79,0.498,0
149,C,471.22,0.203,1
150,B,31.88,0.419,0
151,A,224.4,0.054,0
152,D,69.61,0.35,0
153,B,445.61,0.141,1
154,B,102.59,0.261,0
155,B,137.1,0.263,0
156,D,453.68,0.376,1
157,D,164.06,0.483,0
158,A,99.92,0.239,0
159,B,300.28,0.0,1
160,A,376.42,0.423,1
161,D,410.57,0.46,1
162,B,141.37,0.369,0
163,C,161.31,0.474,0
164,A,305.16,0.404,1
165,B,44.05,0.151,0
166,D,396.86,0.142,1
167,D,443.69,0.268,1
168,A,499.15,0.404,1
169,D,15.58,0.312,0
170,A,23.32,0.254,0
171,A,380.44,0.138,1
172,B,291.01,0.223,1
173,B,196.38,0.046,0
174,C,84.68,0.119,0
175,A,263.96,0.327,0
176,A,71.39,0.053,0
177,B,402.46,0.251,1
178,B,161.07,0.151,0
179,B,67.84,0.314,0
180,D,18.98,0.446,0
181,B,57.18,0.211,0
182,A,334.02,0.25,1
183,A,242.57,0.337,0
184,B,320.39,0.27,1
185,D,395.11,0.162,1
186,B,340.77,0.144,1
