order_id,order_date,region,product_category,product_subcategory,quantity,unit_price,discount,shipping_cost,customer_age_group,payment_method,revenue,profit,returned,high_profit
ORD00001,2023-01-23,North,Electronics,Accessories,8,498.99,0.05,2.34,26-35,Debit Card,3792.32,244.68,0,1
ORD00002,2023-09-14,South,Electronics,Phones,8,538.17,0.02,10.83,56+,PayPal,4219.25,1200.96,0,1
ORD00003,2024-10-22,North,Electronics,Phones,1,278.18,0.16,6.48,26-35,Debit Card,233.67,28.7,0,0
ORD00004,2022-05-25,North,Food & Beverage,Beverages,3,19.74,0.29,7.0,56+,PayPal,42.05,11.14,0,0
ORD00005,2023-04-11,South,Clothing,Shoes,2,142.84,0.29,12.13,18-25,Debit Card,202.83,25.59,0,0
ORD00006,2023-12-09,West,Office Supplies,Art Supplies,7,123.95,0.25,2.6,26-35,Debit Card,650.74,96.16,0,1
ORD00007,2024-02-21,East,Electronics,Phones,6,205.96,0.17,0.47,46-55,Credit Card,1025.68,267.26,0,1
ORD00008,2023-02-13,East,Office Supplies,Art Supplies,4,121.59,0.28,1.33,18-25,PayPal,350.18,34.67,0,0
ORD00009,2022-12-03,North,Clothing,Shirts,2,85.56,0.18,14.48,56+,Cash,140.32,28.31,0,0
ORD00010,2022-11-03,East,Food & Beverage,Beverages,1,1.77,0.13,5.92,18-25,Credit Card,1.54,0.19,0,0
ORD00011,2022-07-25,South,Office Supplies,Paper,8,147.16,0.23,1.11,26-35,Credit Card,906.51,126.56,0,1
ORD00012,2024-06-11,West,Office Supplies,Storage,8,92.64,0.03,5.56,36-45,Debit Card,718.89,156.15,0,1
ORD00013,2023-09-04,East,Office Supplies,Binders,6,178.01,0.14,1.79,36-45,Credit Card,918.53,209.71,0,1
ORD00014,2023-08-04,South,Food & Beverage,Beverages,7,2.98,0.21,1.66,26-35,PayPal,16.48,2.63,0,0
ORD00015,2024-07-15,West,Office Supplies,Binders,1,66.3,0.15,13.61,36-45,Credit Card,56.35,6.33,0,0
ORD00016,2024-02-21,South,Electronics,Accessories,4,757.14,0.18,10.42,46-55,Cash,2483.42,670.81,0,1
ORD00017,2022-11-02,North,Furniture,Sofas,5,526.73,0.24,2.8,26-35,PayPal,2001.57,546.71,0,1
ORD00018,2024-04-14,West,Clothing,Pants,9,54.52,0.03,3.42,36-45,Debit Card,475.96,74.62,0,1
ORD00019,2024-06-08,South,Food & Beverage,Prepared Meals,7,9.07,0.16,7.27,56+,PayPal,53.33,11.9,0,0
ORD00020,2022-09-10,West,Office Supplies,Binders,6,47.66,0.17,6.06,26-35,Gift Card,237.35,15.72,0,0
ORD00021,2022-09-13,West,Electronics,Phones,7,422.94,0.09,4.27,18-25,Debit Card,2694.13,159.55,0,1
ORD00022,2023-06-04,South,Clothing,Shirts,6,14.63,0.1,9.52,46-55,PayPal,79.0,17.39,0,0
ORD00023,2023-04-09,West,Food & Beverage,Prepared Meals,6,12.86,0.2,11.42,56+,Credit Card,61.73,6.75,0,0
ORD00024,2023-01-16,North,Food & Beverage,Prepared Meals,4,49.19,0.12,12.25,36-45,Credit Card,173.15,43.22,0,0
ORD00025,2023-06-10,East,Clothing,Pants,3,92.73,0.2,0.25,46-55,Credit Card,222.55,39.62,0,0
ORD00026,2023-10-30,East,Food & Beverage,Beverages,4,47.09,0.12,7.77,56+,Credit Card,165.76,43.0,0,0
ORD00027,2024-01-31,East,Food & Beverage,Beverages,2,46.31,0.26,3.87,26-35,Cash,68.54,14.74,0,0
ORD00028,2023-07-29,South,Food & Beverage,Snacks,1,12.85,0.03,13.46,56+,Cash,12.46,3.43,0,0
ORD00029,2022-12-17,West,Electronics,Phones,3,575.27,0.25,12.84,36-45,Cash,1294.36,195.61,0,1
ORD00030,2024-05-29,South,Electronics,Laptops,1,171.22,0.27,9.1,56+,Credit Card,124.99,6.54,0,0
ORD00031,2023-11-18,North,Clothing,Shirts,2,32.51,0.16,10.38,56+,Debit Card,54.62,11.63,0,0
ORD00032,2024-01-07,South,Clothing,Pants,1,79.15,0.05,5.5,36-45,Gift Card,75.19,17.75,0,0
ORD00033,2022-11-15,West,Furniture,Tables,3,392.71,0.08,8.85,36-45,PayPal,1083.88,319.44,0,1
ORD00034,2024-07-25,East,Clothing,Accessories,2,59.01,0.19,10.03,18-25,Debit Card,95.6,25.43,0,0
ORD00035,2023-06-01,South,Electronics,Accessories,4,68.24,0.19,2.66,18-25,Gift Card,221.1,63.04,1,1
ORD00036,2024-08-03,South,Food & Beverage,Beverages,3,37.64,0.29,4.96,18-25,Credit Card,80.17,15.09,0,0
ORD00037,2024-10-10,North,Furniture,Chairs,4,197.84,0.12,12.77,18-25,Cash,696.4,90.0,0,1
ORD00038,2023-07-30,North,Food & Beverage,Beverages,6,35.11,0.17,1.46,36-45,PayPal,174.85,35.63,1,0
ORD00039,2022-05-25,South,Food & Beverage,Beverages,2,16.8,0.25,2.05,56+,Gift Card,25.2,5.73,0,0
ORD00040,2022-11-03,West,Furniture,Cabinets,3,176.04,0.18,1.22,46-55,Debit Card,433.06,22.21,0,0
ORD00041,2022-07-20,North,Electronics,Tablets,8,576.48,0.24,13.35,36-45,PayPal,3505.0,471.42,0,1
ORD00042,2022-04-08,West,Clothing,Shirts,7,104.08,0.1,2.33,18-25,Credit Card,655.7,193.73,0,1
ORD00043,2024-06-08,West,Office Supplies,Paper,1,12.28,0.25,5.4,26-35,Debit Card,9.21,0.75,0,0
ORD00044,2024-03-07,South,Food & Beverage,Canned Goods,5,23.41,0.25,2.92,26-35,PayPal,87.79,13.42,0,0
ORD00045,2022-05-24,South,Office Supplies,Storage,2,105.68,0.1,11.93,26-35,Credit Card,190.22,22.39,0,0
ORD00046,2022-03-23,West,Food & Beverage,Snacks,5,10.03,0.02,6.42,18-25,Gift Card,49.15,10.92,0,0
ORD00047,2024-08-04,North,Electronics,Laptops,2,229.84,0.03,2.74,26-35,PayPal,445.89,126.48,0,1
ORD00048,2023-06-19,West,Clothing,Pants,5,95.64,0.13,3.72,46-55,Credit Card,416.03,57.83,0,1
ORD00049,2022-01-15,South,Clothing,Shirts,5,23.18,0.09,14.69,46-55,Cash,105.47,9.9,0,0
ORD00050,2024-02-29,West,Office Supplies,Storage,5,97.33,0.05,6.51,56+,PayPal,462.32,69.17,0,1
ORD00051,2023-10-19,South,Furniture,Sofas,2,178.71,0.0,14.0,26-35,Credit Card,357.42,62.64,0,1
ORD00052,2023-12-09,North,Office Supplies,Paper,8,189.06,0.28,13.01,18-25,Gift Card,1088.99,227.71,0,1
ORD00053,2023-12-02,West,Food & Beverage,Beverages,3,32.52,0.14,8.18,18-25,Gift Card,83.9,23.94,0,0
ORD00054,2024-09-20,North,Furniture,Chairs,2,52.21,0.19,5.05,56+,Credit Card,84.58,18.09,0,0
ORD00055,2023-12-06,South,Clothing,Shirts,2,46.5,0.15,10.39,56+,Debit Card,79.05,10.84,1,0
ORD00056,2022-02-10,North,Food & Beverage,Snacks,9,40.37,0.08,2.66,46-55,Gift Card,334.26,79.44,0,1
ORD00057,2024-10-21,East,Office Supplies,Binders,4,77.54,0.23,5.11,36-45,Debit Card,238.82,67.51,0,1
ORD00058,2023-03-20,East,Clothing,Pants,7,115.64,0.03,13.54,36-45,PayPal,785.2,138.44,0,1
ORD00059,2022-11-27,East,Electronics,Phones,3,341.9,0.0,13.58,46-55,Gift Card,1025.7,74.69,0,1
ORD00060,2024-09-09,North,Electronics,Laptops,4,480.08,0.19,6.73,56+,Cash,1555.46,191.79,0,1
ORD00061,2023-11-27,South,Office Supplies,Paper,4,189.51,0.23,1.7,26-35,Cash,583.69,165.03,1,1
ORD00062,2024-10-26,East,Furniture,Cabinets,5,450.11,0.16,10.59,56+,Cash,1890.46,552.32,0,1
ORD00063,2024-05-15,North,Food & Beverage,Prepared Meals,1,5.96,0.03,10.51,18-25,Debit Card,5.78,0.39,0,0
ORD00064,2024-01-01,East,Electronics,Phones,5,434.99,0.07,8.72,56+,Debit Card,2022.7,537.6,0,1
ORD00065,2022-09-02,East,Office Supplies,Binders,7,197.27,0.23,5.64,36-45,Debit Card,1063.29,75.36,0,1
ORD00066,2023-08-01,East,Food & Beverage,Canned Goods,3,6.45,0.15,0.17,36-45,Credit Card,16.45,2.75,0,0
ORD00067,2022-05-03,North,Clothing,Shoes,9,114.19,0.2,3.56,18-25,Credit Card,822.17,123.37,0,1
ORD00068,2022-03-27,East,Furniture,Sofas,1,157.45,0.29,0.18,26-35,PayPal,111.79,32.7,0,0
ORD00069,2024-07-10,West,Food & Beverage,Snacks,6,46.31,0.28,3.79,18-25,Credit Card,200.06,44.78,0,0
ORD00070,2022-06-21,South,Food & Beverage,Snacks,1,35.09,0.14,9.41,36-45,Gift Card,30.18,5.92,1,0
ORD00071,2022-02-16,South,Clothing,Pants,8,65.23,0.03,5.03,18-25,Cash,506.18,46.78,0,0
ORD00072,2023-02-06,East,Electronics,Accessories,2,249.45,0.11,3.9,26-35,Debit Card,444.02,72.51,0,1
ORD00073,2022-10-17,North,Office Supplies,Storage,5,163.69,0.21,2.44,56+,Debit Card,646.58,179.57,0,1
ORD00074,2024-09-09,South,Furniture,Tables,5,379.65,0.13,13.99,46-55,Credit Card,1651.48,440.15,0,1
ORD00075,2022-01-28,South,Office Supplies,Storage,1,156.63,0.14,14.78,26-35,Cash,134.7,19.42,0,0
ORD00076,2023-02-11,South,Electronics,Tablets,1,678.75,0.14,6.22,18-25,PayPal,583.73,69.08,0,1
ORD00077,2024-06-13,South,Furniture,Cabinets,1,334.58,0.22,13.7,36-45,Cash,260.97,51.23,0,0
ORD00078,2024-02-22,South,Furniture,Chairs,3,170.99,0.14,1.94,26-35,PayPal,441.15,127.28,0,1
ORD00079,2022-08-25,East,Office Supplies,Paper,1,152.61,0.01,4.03,36-45,Cash,151.08,8.39,0,0
ORD00080,2023-05-08,West,Food & Beverage,Prepared Meals,3,26.49,0.26,8.28,18-25,Credit Card,58.81,11.19,0,0
ORD00081,2023-02-22,East,Furniture,Sofas,7,460.43,0.19,10.56,18-25,Credit Card,2610.64,269.52,0,1
ORD00082,2022-01-16,West,Office Supplies,Art Supplies,6,123.58,0.19,8.32,46-55,Gift Card,600.6,43.69,0,0
ORD00083,2023-07-21,North,Clothing,Pants,1,119.71,0.12,9.33,36-45,Credit Card,105.34,27.98,1,0
ORD00084,2022-06-02,West,Electronics,Laptops,8,681.57,0.23,0.99,36-45,PayPal,4198.47,258.06,0,1
ORD00085,2022-12-26,North,Office Supplies,Art Supplies,3,109.77,0.14,8.77,18-25,Cash,283.21,42.5,0,0
ORD00086,2022-07-06,East,Clothing,Shoes,4,58.39,0.27,7.11,46-55,Cash,170.5,36.98,0,0
ORD00087,2022-07-18,South,Furniture,Cabinets,3,498.42,0.1,5.21,46-55,Debit Card,1345.73,77.99,0,1
ORD00088,2023-07-07,East,Clothing,Shirts,2,28.02,0.1,4.82,36-45,Cash,50.44,3.69,0,0
ORD00089,2023-12-13,South,Clothing,Shoes,8,132.3,0.28,0.92,46-55,PayPal,762.05,90.85,0,1
ORD00090,2024-02-13,West,Furniture,Cabinets,4,149.33,0.11,7.27,26-35,Credit Card,531.61,108.75,0,1
ORD00091,2023-04-24,East,Food & Beverage,Prepared Meals,8,7.52,0.21,12.67,18-25,Debit Card,47.53,11.28,0,0
ORD00092,2024-06-15,East,Furniture,Tables,6,333.59,0.07,4.04,26-35,Credit Card,1861.43,268.64,0,1
ORD00093,2022-11-30,North,Furniture,Cabinets,7,80.85,0.16,3.5,56+,Credit Card,475.4,64.53,0,1
ORD00094,2023-01-03,West,Clothing,Pants,9,79.78,0.03,8.06,46-55,PayPal,696.48,137.0,0,1
ORD00095,2023-03-23,West,Furniture,Tables,3,245.9,0.1,13.49,18-25,Credit Card,663.93,134.04,0,1
ORD00096,2023-05-31,West,Furniture,Tables,6,375.29,0.07,1.53,56+,PayPal,2094.12,184.73,0,1
ORD00097,2022-06-16,North,Food & Beverage,Beverages,8,44.94,0.02,7.87,18-25,PayPal,352.33,53.77,1,0
ORD00098,2022-04-26,South,Clothing,Shoes,2,90.64,0.28,0.08,46-55,Gift Card,130.52,38.34,0,0
ORD00099,2024-01-18,West,Food & Beverage,Canned Goods,9,36.2,0.16,7.15,26-35,PayPal,273.67,71.06,0,1
ORD00100,2024-09-27,West,Office Supplies,Binders,4,87.96,0.15,3.64,36-45,Gift Card,299.06,23.54,0,0
ORD00101,2022-10-26,West,Furniture,Sofas,5,318.48,0.28,4.81,46-55,Credit Card,1146.53,227.55,0,1
ORD00102,2023-04-15,East,Furniture,Sofas,5,66.12,0.3,4.84,36-45,Cash,231.42,58.43,0,1
ORD00103,2023-12-06,North,Furniture,Tables,1,96.52,0.14,9.09,26-35,PayPal,83.01,20.63,0,0
ORD00104,2024-05-29,South,Furniture,Chairs,2,100.85,0.22,14.08,46-55,PayPal,157.33,14.99,0,0
ORD00105,2024-02-06,East,Food & Beverage,Canned Goods,6,3.36,0.23,12.42,46-55,Credit Card,15.52,3.69,0,0
ORD00106,2024-05-03,South,Clothing,Accessories,5,124.04,0.2,7.85,56+,Credit Card,496.16,69.32,0,1
ORD00107,2023-02-10,West,Clothing,Shirts,8,73.27,0.21,13.5,36-45,Cash,463.07,95.4,0,1
ORD00108,2023-03-30,West,Clothing,Pants,1,42.51,0.27,5.76,46-55,Debit Card,31.03,5.77,1,0
ORD00109,2023-10-08,East,Clothing,Accessories,3,70.41,0.1,10.96,18-25,PayPal,190.11,42.48,0,0
ORD00110,2024-06-27,East,Clothing,Pants,1,84.68,0.27,11.83,46-55,Debit Card,61.82,5.43,0,0
ORD00111,2022-09-14,North,Clothing,Shirts,7,30.04,0.06,10.71,18-25,PayPal,197.66,34.29,0,0
ORD00112,2022-04-17,South,Clothing,Pants,4,73.98,0.18,7.53,18-25,Cash,242.65,44.88,0,0
ORD00113,2023-02-27,West,Office Supplies,Binders,2,7.38,0.18,8.48,46-55,Cash,12.1,2.77,0,0
ORD00114,2024-05-04,East,Clothing,Shoes,8,91.67,0.12,6.93,46-55,Cash,645.36,185.1,0,1
ORD00115,2023-08-30,North,Clothing,Shirts,2,95.6,0.01,13.08,56+,Credit Card,189.29,53.57,0,0
ORD00116,2023-12-22,East,Furniture,Chairs,8,43.12,0.2,11.57,18-25,Credit Card,275.97,39.63,0,0
ORD00117,2022-03-21,South,Furniture,Chairs,8,509.05,0.27,1.84,56+,Debit Card,2972.85,323.97,0,1
ORD00118,2022-07-12,South,Furniture,Cabinets,7,554.88,0.26,7.78,18-25,Gift Card,2874.28,568.59,0,1
ORD00119,2022-02-26,South,Clothing,Shoes,9,38.78,0.24,9.06,36-45,Debit Card,265.26,20.84,0,0
ORD00120,2024-06-11,North,Furniture,Sofas,6,227.42,0.1,11.06,18-25,Gift Card,1228.07,200.24,0,1
ORD00121,2023-04-13,North,Office Supplies,Storage,3,53.4,0.17,2.48,46-55,Debit Card,132.97,7.77,0,0
ORD00122,2024-03-18,North,Food & Beverage,Beverages,6,11.78,0.06,7.73,18-25,Cash,66.44,19.53,0,0
ORD00123,2023-07-31,North,Food & Beverage,Snacks,6,5.18,0.3,7.53,36-45,Gift Card,21.76,4.33,0,0
ORD00124,2024-02-15,West,Office Supplies,Paper,8,180.12,0.06,2.86,56+,Cash,1354.5,80.1,0,1
ORD00125,2023-08-08,North,Clothing,Accessories,2,51.17,0.21,7.91,18-25,PayPal,80.85,14.84,0,0
ORD00126,2023-05-29,East,Clothing,Pants,3,31.73,0.05,12.93,46-55,Debit Card,90.43,25.91,0,0
